genre,play_count,proportion
pop,772,20.27310924369748
folktronica,486,12.762605042016805
indie pop,390,10.241596638655462
hip hop,339,8.902310924369749
musicals,314,8.245798319327731
soul pop,230,6.0399159663865545
"nu disco, alternative dance",186,4.8844537815126055
bedroom pop,176,4.621848739495799
"art rock, alternative rock",153,4.017857142857143
alternative,144,3.7815126050420167
electropop,137,3.5976890756302518
synth pop,130,3.4138655462184873
"dream pop, jangle pop",108,2.8361344537815127
k-pop,66,1.7331932773109244
"hyperpop, art pop",56,1.4705882352941175
"glam rock, art rock",56,1.4705882352941175
"soundtrack, score",52,1.365546218487395
indie,52,1.365546218487395
